"Country Name","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","People using at least basic drinking water services (% of population)","Hospital beds (per 1,000 people)","Nurses and midwives (per 1,000 people)","Smoking prevalence, total (ages 15+) %","Diabetes prevalence (% of population ages 20 to 79)","People with basic handwashing facilities including soap and water (% of population)","Current health expenditure (% of GDP)","Current health expenditure per capita (current US$)","Out-of-pocket expenditure (% of current health expenditure)","Life expectancy at birth, total (years)","Population ages 65 and above (% of total population)"
"Aruba","","","97.869023380986","","","28.7","11.6","","","","","76.152","14.058355437666"
"Afghanistan","29.8","36.4","67.064623420521","0.5","0.1755","33.5","9.2","37.74603201889","11.777193844318","67.122650146484","75.482577085495","64.486","2.6157942139051"
"Angola","16.5","63.4","55.842904872241","","0.4075","21.955857534516","4.5","26.664182570943","2.7915002778173","114.45964050293","34.121012687683","60.782","2.1993417500136"
"Albania","17","2.9","91.039227667619","2.9","3.6495","28.9","9","","","","","78.458","14.202630620736"
"Andorra","","","99.999996282696","2.5","4.0128","21.8","7.7","","10.320552438498","4040.7866210938","41.77705347538","",""
"Arab World","20.713060837771","19.973405748669","88.631285423235","1.6245235805731","2.1555368329512","24.1","12.536001448713","70.171734720788","4.85796910086","345.78941045835","38.309301466745","71.806825162361","4.657837545386"
"United Arab Emirates","16.8","6.5","98.045506557426","1.2","5.7271","","16.3","","3.3342823386192","1357.0174560547","18.867440521717","77.814","1.1565494560223"
"Argentina","15.8","15.9","","5","2.5996","","5.9","","9.1243147850037","1324.603515625","15.018527209759","76.52","11.2431082719"
"Armenia","22.3","2.8","99.91337653688","4.2","6.107","14.7","6.1","94.042941373525","10.362704843283","407.63586425781","84.348076581955","74.945","11.483667716909"
"American Samoa","","","99.77377165851","","","29.6","","","","","","",""
"Antigua and Barbuda","22.6","11.9","96.739186276271","3.8","4.5171","20.8","13.1","","4.5335318893194","673.85968017578","34.984886646271","76.885","9.0549640643341"
"Australia","9.1","4.6","99.96993559668","3.8","12.5508","","5.6","","9.2059478163719","5331.8178710938","18.152102828026","82.748780487805","15.921201745905"
"Austria","11.4","2.6","100","7.6","7.0899","28.2","6.6","","10.396616905928","4939.8754882812","19.203266501427","81.692682926829","19.075606285668"
"Azerbaijan","22.2","8.8","91.385739943657","4.7","6.4338","6.4","6.1","83.2413","6.6518291831016","275.80935668945","83.85614156723","72.864","6.4463891203953"
"Burundi","22.9","55.8","60.830548920957","0.8","0.8526","12.5","5.1","6.1440993680861","7.5175702571869","23.50043296814","25.462976098061","61.247","2.31209531524"
"Belgium","11.4","7.9","100.00000333764","6.2","19.4614","23","4.6","","10.338669270277","4507.3564453125","17.638222873211","81.59512195122","19.006566066932"
"Benin","19.6","54.1","66.414725338127","0.5","0.3888","37","1","11.034913429605","3.7185821682215","30.766447067261","44.979926943779","61.47","3.2648849252077"
"Burkina Faso","21.7","56.3","47.888127338289","0.4","0.8829","26.4","7.3","11.877389332001","6.9150596857071","44.403491973877","31.677594780922","61.174","2.407287537292"
"Bangladesh","21.6","25.6","97.016005570907","0.8","0.4124","11.5","9.2","34.807603606932","2.2742487490177","36.282337188721","73.884737491608","72.32","5.1803513484749"
"Bulgaria","23.6","2.2","99.108342824869","6.8","4.8156","38.9","6","","8.0956034362316","663.71508789062","46.552568674088","74.963414634146","21.252967270985"
"Bahrain","11.3","6.9","100","2.1","2.4944","26.7","15.6","","4.7481048852205","1127.1862792969","30.55217564106","77.163","2.5188097286573"
"Bahamas, The","15.5","16.9","98.88696049734","2.9","4.5669","","8.8","","5.7588890194893","1771.5355224609","30.982467532158","73.752","7.4832726544487"
"Bosnia and Herzegovina","17.8","1.8","96.142356085021","3.5","5.7333","","9","97.163803040013","8.9316673576832","460.47332763672","29.139310121536","77.262","17.201151166313"
"Belarus","23.7","2.5","96.483971188065","11","11.0027","","5","","5.9257857501507","342.49990844727","27.515000104904","74.175609756098","15.200841351482"
